    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    65.765265    30.389165    -3.683789    -2.258301     0.020000
    67.593002    30.682243    -3.533398    -1.464355     0.020000
    58.973637    29.048705    -2.283789    -1.464355     0.020000
    39.680421    18.660933    -3.533398    -3.758301     0.020000
    39.680421    18.660933    -3.533398    -3.758301     0.020000
    58.973637    29.048705    -2.283789    -1.464355     0.020000
     0.465885     0.002651    -2.283789    -3.758301     0.020000
    56.131257    28.291849    -3.183398    -2.589355     0.020000
    36.761351    22.536852    -2.633789    -2.589355     0.020000
    27.865476    17.570918    -3.183398    -3.383301     0.020000
    27.865476    17.570918    -3.183398    -3.383301     0.020000
    36.761351    22.536852    -2.633789    -2.589355     0.020000
     5.677124     3.154219    -2.633789    -3.383301     0.020000
    55.912150    28.121998    -1.783398    -1.089355     0.020000
    68.090231    30.765489    -4.033789    -1.089355     0.020000
    27.154573    18.904230    -1.783398    -1.883301     0.020000
    27.154573    18.904230    -1.783398    -1.883301     0.020000
    68.090231    30.765489    -4.033789    -1.089355     0.020000
    67.735182    30.705657    -4.033789    -1.883301     0.020000
     3.217172     1.420929    -2.483398    -3.339355     0.020000
     0.375923     0.007212    -1.933789    -3.339355     0.020000
    28.188135    18.750249    -2.483398    -2.633301     0.020000
    28.188135    18.750249    -2.483398    -2.633301     0.020000
     0.375923     0.007212    -1.933789    -3.339355     0.020000
     3.147475     2.553374    -1.933789    -2.633301     0.020000
    67.601007    30.683949    -3.883398    -1.839355     0.020000
    66.190006    30.438540    -3.333789    -1.839355     0.020000
    68.046283    30.757497    -3.883398    -1.133301     0.020000
    68.046283    30.757497    -3.883398    -1.133301     0.020000
    66.190006    30.438540    -3.333789    -1.839355     0.020000
    67.735264    30.698739    -3.333789    -1.133301     0.020000
    60.735889    29.502542    -4.058398    -3.151855     0.020000
     0.295768     0.010091    -1.758789    -3.151855     0.020000
    67.484904    30.671715    -4.058398    -2.070801     0.020000
    67.484904    30.671715    -4.058398    -2.070801     0.020000
     0.295768     0.010091    -1.758789    -3.151855     0.020000
    15.440420    12.941390    -1.758789    -2.070801     0.020000
    62.051027    29.695334    -2.658398    -1.651855     0.020000
    66.133686    30.436233    -3.158789    -1.651855     0.020000
     3.456409     0.756988    -2.658398    -3.570801     0.020000
     3.456409     0.756988    -2.658398    -3.570801     0.020000
    66.133686    30.436233    -3.158789    -1.651855     0.020000
    23.077769    12.685171    -3.158789    -3.570801     0.020000
     0.241066     0.000273    -1.958398    -3.901855     0.020000
     0.576801     0.003700    -2.458789    -3.901855     0.020000
    54.792165    28.048425    -1.958398    -1.320801     0.020000
    54.792165    28.048425    -1.958398    -1.320801     0.020000
     0.576801     0.003700    -2.458789    -3.901855     0.020000
    63.459482    29.908828    -2.458789    -1.320801     0.020000
    61.726877    29.649389    -3.358398    -2.401855     0.020000
    66.015052    30.421154    -3.858789    -2.401855     0.020000
    58.060678    28.158340    -3.358398    -2.820801     0.020000
    58.060678    28.158340    -3.358398    -2.820801     0.020000
    66.015052    30.421154    -3.858789    -2.401855     0.020000
    64.718535    29.932321    -3.858789    -2.820801     0.020000
    48.662973    24.694603    -3.708398    -3.526855     0.020000
    40.802068    21.667906    -3.508789    -3.526855     0.020000
    52.455814    27.674214    -3.708398    -3.195801     0.020000
    52.455814    27.674214    -3.708398    -3.195801     0.020000
    40.802068    21.667906    -3.508789    -3.526855     0.020000
    45.940784    25.962661    -3.508789    -3.195801     0.020000
    43.573998    25.441336    -2.308398    -2.026855     0.020000
    34.859090    22.566137    -2.108789    -2.026855     0.020000
    54.574218    28.141168    -2.308398    -1.695801     0.020000
    54.574218    28.141168    -2.308398    -1.695801     0.020000
    34.859090    22.566137    -2.108789    -2.026855     0.020000
    48.476773    26.648062    -2.108789    -1.695801     0.020000
    48.669921    25.568523    -3.008398    -2.776855     0.020000
    66.629187    30.430448    -4.208789    -2.776855     0.020000
     8.791033     2.186798    -3.008398    -3.945801     0.020000
     8.791033     2.186798    -3.008398    -3.945801     0.020000
    66.629187    30.430448    -4.208789    -2.776855     0.020000
    60.400709    27.026533    -4.208789    -3.945801     0.020000
    68.118481    30.771569    -4.408398    -1.276855     0.020000
    66.200651    30.422257    -2.808789    -1.276855     0.020000
    67.498583    30.668823    -4.408398    -2.445801     0.020000
    67.498583    30.668823    -4.408398    -2.445801     0.020000
    66.200651    30.422257    -2.808789    -1.276855     0.020000
    47.950028    26.492217    -2.808789    -2.445801     0.020000
    62.909086    29.188522    -4.364648    -3.573730     0.020000
     0.765410     0.014505    -2.327539    -3.573730     0.020000
    68.124026    30.772283    -4.364648    -1.180176     0.020000
    68.124026    30.772283    -4.364648    -1.180176     0.020000
     0.765410     0.014505    -2.327539    -3.573730     0.020000
    63.509934    29.878997    -2.327539    -1.180176     0.020000
    60.385821    29.431151    -2.964648    -2.073730     0.020000
    66.708203    30.545996    -3.727539    -2.073730     0.020000
    48.399819    25.969474    -2.964648    -2.680176     0.020000
    48.399819    25.969474    -2.964648    -2.680176     0.020000
    66.708203    30.545996    -3.727539    -2.073730     0.020000
    63.959130    29.911058    -3.727539    -2.680176     0.020000
    11.615309     8.125260    -2.264648    -2.823730     0.020000
    48.865153    25.353709    -3.027539    -2.823730     0.020000
    47.340065    26.115812    -2.264648    -1.930176     0.020000
    47.340065    26.115812    -2.264648    -1.930176     0.020000
    48.865153    25.353709    -3.027539    -2.823730     0.020000
    63.665073    29.947792    -3.027539    -1.930176     0.020000
    67.858335    30.725799    -3.664648    -1.323730     0.020000
    68.115265    30.771132    -4.427539    -1.323730     0.020000
    47.888405    25.231273    -3.664648    -3.430176     0.020000
    47.888405    25.231273    -3.664648    -3.430176     0.020000
    68.115265    30.771132    -4.427539    -1.323730     0.020000
    63.770034    29.755565    -4.427539    -3.430176     0.020000
    38.138782    23.455150    -3.314648    -3.198730     0.020000
    40.770794    24.359023    -3.377539    -3.198730     0.020000
    27.628453    12.466780    -3.314648    -3.805176     0.020000
    27.628453    12.466780    -3.314648    -3.805176     0.020000
    40.770794    24.359023    -3.377539    -3.198730     0.020000
    31.146626    14.189038    -3.377539    -3.805176     0.020000
    40.763179    24.400986    -1.914648    -1.698730     0.020000
    43.405365    25.220748    -1.977539    -1.698730     0.020000
    12.475595    10.820192    -1.914648    -2.305176     0.020000
    12.475595    10.820192    -1.914648    -2.305176     0.020000
    43.405365    25.220748    -1.977539    -1.698730     0.020000
    15.462426    12.863315    -1.977539    -2.305176     0.020000
     0.877235     0.009343    -2.614648    -3.948730     0.020000
    57.866215    25.806170    -4.077539    -3.948730     0.020000
    12.394457    10.408969    -2.614648    -3.055176     0.020000
    12.394457    10.408969    -2.614648    -3.055176     0.020000
    57.866215    25.806170    -4.077539    -3.948730     0.020000
