    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    67.735776    30.173705    -3.329541    -2.258301     0.020000
    67.907696    30.607343    -3.206006    -1.464355     0.020000
    62.641737    28.977313    -2.179541    -1.464355     0.020000
    65.036886    12.684504    -3.206006    -3.758301     0.020000
    65.036886    12.684504    -3.206006    -3.758301     0.020000
    62.641737    28.977313    -2.179541    -1.464355     0.020000
    41.409441     0.001140    -2.179541    -3.758301     0.020000
    66.343135    27.641933    -2.918506    -2.589355     0.020000
    62.711992    22.837031    -2.467041    -2.589355     0.020000
    64.808917    15.694099    -2.918506    -3.383301     0.020000
    64.808917    15.694099    -2.918506    -3.383301     0.020000
    62.711992    22.837031    -2.467041    -2.589355     0.020000
    55.936228     3.990648    -2.467041    -3.383301     0.020000
    59.512372    28.290402    -1.768506    -1.089355     0.020000
    68.361046    30.745017    -3.617041    -1.089355     0.020000
    51.274326    21.905517    -1.768506    -1.883301     0.020000
    51.274326    21.905517    -1.768506    -1.883301     0.020000
    68.361046    30.745017    -3.617041    -1.089355     0.020000
    68.178598    30.631193    -3.617041    -1.883301     0.020000
    51.924005     2.322201    -2.343506    -3.339355     0.020000
    37.695128     0.003778    -1.892041    -3.339355     0.020000
    60.872819    19.897533    -2.343506    -2.633301     0.020000
    60.872819    19.897533    -2.343506    -2.633301     0.020000
    37.695128     0.003778    -1.892041    -3.339355     0.020000
    49.813493     9.033994    -1.892041    -2.633301     0.020000
    68.082435    30.599169    -3.493506    -1.839355     0.020000
    67.327421    30.269603    -3.042041    -1.839355     0.020000
    68.301734    30.729721    -3.493506    -1.133301     0.020000
    68.301734    30.729721    -3.493506    -1.133301     0.020000
    67.327421    30.269603    -3.042041    -1.839355     0.020000
    67.936373    30.635894    -3.042041    -1.133301     0.020000
    67.956590    28.673519    -3.637256    -3.151855     0.020000
    35.172957     0.010188    -1.748291    -3.151855     0.020000
    68.151767    30.577199    -3.637256    -2.070801     0.020000
    68.151767    30.577199    -3.637256    -2.070801     0.020000
    35.172957     0.010188    -1.748291    -3.151855     0.020000
    49.093174    18.656342    -1.748291    -2.070801     0.020000
    64.933366    29.523888    -2.487256    -1.651855     0.020000
    67.071678    30.286959    -2.898291    -1.651855     0.020000
    44.306899     0.070381    -2.487256    -3.570801     0.020000
    44.306899     0.070381    -2.487256    -3.570801     0.020000
    67.071678    30.286959    -2.898291    -1.651855     0.020000
    62.840823     9.317568    -2.898291    -3.570801     0.020000
    37.981841     0.000255    -1.912256    -3.901855     0.020000
    42.702992     0.002208    -2.323291    -3.901855     0.020000
    59.691956    28.197768    -1.912256    -1.320801     0.020000
    59.691956    28.197768    -1.912256    -1.320801     0.020000
    42.702992     0.002208    -2.323291    -3.901855     0.020000
    64.825378    29.757933    -2.323291    -1.320801     0.020000
    67.027607    29.269795    -3.062256    -2.401855     0.020000
    67.922106    30.183355    -3.473291    -2.401855     0.020000
    66.802462    26.906393    -3.062256    -2.820801     0.020000
    66.802462    26.906393    -3.062256    -2.820801     0.020000
    67.922106    30.183355    -3.473291    -2.401855     0.020000
    67.835673    29.201788    -3.473291    -2.820801     0.020000
    66.874134    21.029131    -3.349756    -3.526855     0.020000
    66.073063    17.762699    -3.185791    -3.526855     0.020000
    67.409961    26.414267    -3.349756    -3.195801     0.020000
    67.409961    26.414267    -3.349756    -3.195801     0.020000
    66.073063    17.762699    -3.185791    -3.526855     0.020000
    66.911665    24.671752    -3.185791    -3.195801     0.020000
    60.253860    26.108232    -2.199756    -2.026855     0.020000
    57.118205    24.234115    -2.035791    -2.026855     0.020000
    61.696383    28.194075    -2.199756    -1.695801     0.020000
    61.696383    28.194075    -2.199756    -1.695801     0.020000
    57.118205    24.234115    -2.035791    -2.026855     0.020000
    59.003390    27.081637    -2.035791    -1.695801     0.020000
    65.320917    24.391851    -2.774756    -2.776855     0.020000
    68.163160    30.034382    -3.760791    -2.776855     0.020000
    45.334604     0.043764    -2.774756    -3.945801     0.020000
    45.334604     0.043764    -2.774756    -3.945801     0.020000
    68.163160    30.034382    -3.760791    -2.776855     0.020000
    67.493433    22.318730    -3.760791    -3.945801     0.020000
    68.411714    30.757044    -3.924756    -1.276855     0.020000
    66.664943    30.287697    -2.610791    -1.276855     0.020000
    68.293436    30.545876    -3.924756    -2.445801     0.020000
    68.293436    30.545876    -3.924756    -2.445801     0.020000
    66.664943    30.287697    -2.610791    -1.276855     0.020000
    64.440697    26.348772    -2.610791    -2.445801     0.020000
    68.016389    27.106834    -3.888818    -3.573730     0.020000
    41.826968     0.006585    -2.215479    -3.573730     0.020000
    68.416183    30.758818    -3.888818    -1.180176     0.020000
    68.416183    30.758818    -3.888818    -1.180176     0.020000
    41.826968     0.006585    -2.215479    -3.573730     0.020000
    64.603173    29.740812    -2.215479    -1.180176     0.020000
    65.822867    29.200513    -2.738818    -2.073730     0.020000
    67.848591    30.398875    -3.365479    -2.073730     0.020000
    65.184579    25.188389    -2.738818    -2.680176     0.020000
    65.184579    25.188389    -2.738818    -2.680176     0.020000
    67.848591    30.398875    -3.365479    -2.073730     0.020000
    67.692074    29.333609    -3.365479    -2.680176     0.020000
    56.261061    10.918511    -2.163818    -2.823730     0.020000
    65.368068    23.959403    -2.790478    -2.823730     0.020000
    60.207235    26.448123    -2.163818    -1.930176     0.020000
    60.207235    26.448123    -2.163818    -1.930176     0.020000
    65.368068    23.959403    -2.790478    -2.823730     0.020000
    66.340627    29.690838    -2.790478    -1.930176     0.020000
    68.108618    30.674826    -3.313818    -1.323730     0.020000
    68.409444    30.755987    -3.940479    -1.323730     0.020000
    66.964441    22.388225    -3.313818    -3.430176     0.020000
    66.964441    22.388225    -3.313818    -3.430176     0.020000
