    K_f          mu_f          f            Kp
    66.856825    30.273935     0.499967     0.020000
    66.835687    30.267036     0.503278     0.020000
    66.814309    30.260048     0.506589     0.020000
    66.792688    30.252970     0.509900     0.020000
    66.770820    30.245801     0.513211     0.020000
    66.748699    30.238538     0.516522     0.020000
    66.726322    30.231180     0.519833     0.020000
    66.703684    30.223724     0.523144     0.020000
    66.680781    30.216169     0.526455     0.020000
    66.657607    30.208513     0.529766     0.020000
    66.634158    30.200754     0.533077     0.020000
    66.610430    30.192890     0.536388     0.020000
    66.586417    30.184918     0.539699     0.020000
    66.562113    30.176836     0.543010     0.020000
    66.537514    30.168642     0.546321     0.020000
    66.512615    30.160334     0.549632     0.020000
    66.487409    30.151909     0.552943     0.020000
    66.461891    30.143365     0.556254     0.020000
    66.436055    30.134699     0.559565     0.020000
    66.409895    30.125909     0.562876     0.020000
    66.383405    30.116992     0.566187     0.020000
    66.356579    30.107945     0.569498     0.020000
    66.329411    30.098765     0.572809     0.020000
    66.301893    30.089449     0.576120     0.020000
    66.274018    30.079994     0.579431     0.020000
    66.245781    30.070398     0.582742     0.020000
    66.217174    30.060657     0.586054     0.020000
    66.188189    30.050767     0.589365     0.020000
    66.158819    30.040725     0.592676     0.020000
    66.129057    30.030528     0.595987     0.020000
    66.098893    30.020173     0.599298     0.020000
    66.068321    30.009654     0.602609     0.020000
    66.037332    29.998969     0.605920     0.020000
    66.005916    29.988113     0.609231     0.020000
    65.974067    29.977083     0.612542     0.020000
    65.941773    29.965873     0.615853     0.020000
    65.909026    29.954480     0.619164     0.020000
    65.875817    29.942900     0.622475     0.020000
    65.842135    29.931126     0.625786     0.020000
    65.807971    29.919156     0.629097     0.020000
    65.773313    29.906982     0.632408     0.020000
    65.738151    29.894602     0.635719     0.020000
    65.702475    29.882008     0.639030     0.020000
    65.666272    29.869196     0.642341     0.020000
    65.629531    29.856159     0.645652     0.020000
    65.592240    29.842892     0.648963     0.020000
    65.554386    29.829389     0.652274     0.020000
    65.515956    29.815643     0.655585     0.020000
    65.476938    29.801648     0.658896     0.020000
    65.437318    29.787396     0.662207     0.020000
    65.397081    29.772881     0.665518     0.020000
    65.356213    29.758096     0.668829     0.020000
    65.314700    29.743031     0.672140     0.020000
    65.272525    29.727681     0.675452     0.020000
    65.229673    29.712036     0.678763     0.020000
    65.186127    29.696088     0.682074     0.020000
    65.141871    29.679828     0.685385     0.020000
    65.096886    29.663246     0.688696     0.020000
    65.051156    29.646334     0.692007     0.020000
    65.004660    29.629081     0.695318     0.020000
    64.957380    29.611476     0.698629     0.020000
    64.909295    29.593509     0.701940     0.020000
    64.860386    29.575168     0.705251     0.020000
    64.810630    29.556442     0.708562     0.020000
    64.760005    29.537319     0.711873     0.020000
    64.708488    29.517785     0.715184     0.020000
    64.656057    29.497827     0.718495     0.020000
    64.602685    29.477431     0.721806     0.020000
    64.548347    29.456583     0.725117     0.020000
    64.493018    29.435267     0.728428     0.020000
    64.436670    29.413468     0.731739     0.020000
    64.379273    29.391169     0.735050     0.020000
    64.320799    29.368351     0.738361     0.020000
    64.261218    29.344998     0.741672     0.020000
    64.200496    29.321090     0.744983     0.020000
    64.138602    29.296606     0.748294     0.020000
    64.075501    29.271526     0.751605     0.020000
    64.011157    29.245828     0.754916     0.020000
    63.945534    29.219489     0.758227     0.020000
    63.878592    29.192483     0.761538     0.020000
    63.810291    29.164786     0.764849     0.020000
    63.740591    29.136371     0.768161     0.020000
    63.669446    29.107208     0.771472     0.020000
    63.596813    29.077269     0.774783     0.020000
    63.522643    29.046522     0.778094     0.020000
    63.446888    29.014933     0.781405     0.020000
    63.369496    28.982467     0.784716     0.020000
    63.290413    28.949088     0.788027     0.020000
    63.209583    28.914755     0.791338     0.020000
    63.126949    28.879429     0.794649     0.020000
    63.042448    28.843063     0.797960     0.020000
    62.956017    28.805613     0.801271     0.020000
    62.867589    28.767028     0.804582     0.020000
    62.777094    28.727256     0.807893     0.020000
    62.684458    28.686241     0.811204     0.020000
    62.589605    28.643924     0.814515     0.020000
    62.492454    28.600242     0.817826     0.020000
    62.392920    28.555126     0.821137     0.020000
    62.290916    28.508507     0.824448     0.020000
    62.186347    28.460305     0.827759     0.020000
    62.079115    28.410440     0.831070     0.020000
    61.969119    28.358823     0.834381     0.020000
    61.856249    28.305360     0.837692     0.020000
    61.740391    28.249950     0.841003     0.020000
    61.621425    28.192483     0.844314     0.020000
    61.499225    28.132844     0.847625     0.020000
    61.373656    28.070904     0.850936     0.020000
    61.244577    28.006529     0.854247     0.020000
    61.111839    27.939571     0.857559     0.020000
    60.975285    27.869870     0.860870     0.020000
