    K_f          mu_f          f            Kp
    66.100653    30.267255     0.499967     0.020000
    66.072826    30.260226     0.503278     0.020000
    66.044649    30.253107     0.506589     0.020000
    66.016116    30.245895     0.509900     0.020000
    65.987220    30.238588     0.513211     0.020000
    65.957955    30.231185     0.516522     0.020000
    65.928312    30.223684     0.519833     0.020000
    65.898285    30.216082     0.523144     0.020000
    65.867866    30.208377     0.526455     0.020000
    65.837048    30.200569     0.529766     0.020000
    65.805822    30.192653     0.533077     0.020000
    65.774180    30.184629     0.536388     0.020000
    65.742115    30.176494     0.539699     0.020000
    65.709617    30.168245     0.543010     0.020000
    65.676677    30.159880     0.546321     0.020000
    65.643287    30.151398     0.549632     0.020000
    65.609438    30.142794     0.552943     0.020000
    65.575119    30.134067     0.556254     0.020000
    65.540321    30.125214     0.559565     0.020000
    65.505033    30.116233     0.562876     0.020000
    65.469246    30.107119     0.566187     0.020000
    65.432949    30.097871     0.569498     0.020000
    65.396131    30.088486     0.572809     0.020000
    65.358779    30.078960     0.576120     0.020000
    65.320884    30.069290     0.579431     0.020000
    65.282432    30.059473     0.582742     0.020000
    65.243412    30.049505     0.586054     0.020000
    65.203810    30.039384     0.589365     0.020000
    65.163614    30.029105     0.592676     0.020000
    65.122811    30.018665     0.595987     0.020000
    65.081385    30.008060     0.599298     0.020000
    65.039324    29.997285     0.602609     0.020000
    64.996611    29.986338     0.605920     0.020000
    64.953233    29.975213     0.609231     0.020000
    64.909172    29.963906     0.612542     0.020000
    64.864414    29.952414     0.615853     0.020000
    64.818941    29.940730     0.619164     0.020000
    64.772736    29.928851     0.622475     0.020000
    64.725782    29.916772     0.625786     0.020000
    64.678059    29.904487     0.629097     0.020000
    64.629549    29.891991     0.632408     0.020000
    64.580233    29.879278     0.635719     0.020000
    64.530089    29.866344     0.639030     0.020000
    64.479097    29.853181     0.642341     0.020000
    64.427236    29.839784     0.645652     0.020000
    64.374482    29.826147     0.648963     0.020000
    64.320813    29.812263     0.652274     0.020000
    64.266204    29.798126     0.655585     0.020000
    64.210631    29.783728     0.658896     0.020000
    64.154068    29.769062     0.662207     0.020000
    64.096488    29.754120     0.665518     0.020000
    64.037864    29.738895     0.668829     0.020000
    63.978166    29.723379     0.672140     0.020000
    63.917366    29.707563     0.675452     0.020000
    63.855432    29.691438     0.678763     0.020000
    63.792332    29.674995     0.682074     0.020000
    63.728033    29.658225     0.685385     0.020000
    63.662500    29.641118     0.688696     0.020000
    63.595699    29.623664     0.692007     0.020000
    63.527590    29.605851     0.695318     0.020000
    63.458137    29.587669     0.698629     0.020000
    63.387297    29.569106     0.701940     0.020000
    63.315031    29.550150     0.705251     0.020000
    63.241293    29.530789     0.708562     0.020000
    63.166039    29.511009     0.711873     0.020000
    63.089221    29.490796     0.715184     0.020000
    63.010791    29.470137     0.718495     0.020000
    62.930696    29.449016     0.721806     0.020000
    62.848884    29.427417     0.725117     0.020000
    62.765298    29.405325     0.728428     0.020000
    62.679880    29.382722     0.731739     0.020000
    62.592569    29.359589     0.735050     0.020000
    62.503302    29.335910     0.738361     0.020000
    62.412011    29.311662     0.741672     0.020000
    62.318629    29.286827     0.744983     0.020000
    62.223081    29.261383     0.748294     0.020000
    62.125291    29.235305     0.751605     0.020000
    62.025181    29.208572     0.754916     0.020000
    61.922665    29.181158     0.758227     0.020000
    61.817657    29.153035     0.761538     0.020000
    61.710064    29.124177     0.764849     0.020000
    61.599790    29.094555     0.768161     0.020000
    61.486733    29.064137     0.771472     0.020000
    61.370786    29.032891     0.774783     0.020000
    61.251838    29.000783     0.778094     0.020000
    61.129770    28.967777     0.781405     0.020000
    61.004458    28.933834     0.784716     0.020000
    60.875771    28.898914     0.788027     0.020000
    60.743571    28.862973     0.791338     0.020000
    60.607711    28.825968     0.794649     0.020000
    60.468038    28.787849     0.797960     0.020000
    60.324389    28.748566     0.801271     0.020000
    60.176591    28.708065     0.804582     0.020000
    60.024462    28.666287     0.807893     0.020000
    59.867810    28.623172     0.811204     0.020000
    59.706429    28.578655     0.814515     0.020000
    59.540102    28.532665     0.817826     0.020000
    59.368597    28.485128     0.821137     0.020000
    59.191670    28.435966     0.824448     0.020000
    59.009059    28.385094     0.827759     0.020000
    58.820486    28.332419     0.831070     0.020000
    58.625653    28.277846     0.834381     0.020000
    58.424245    28.221269     0.837692     0.020000
    58.215921    28.162577     0.841003     0.020000
    58.000321    28.101647     0.844314     0.020000
    57.777056    28.038350     0.847625     0.020000
    57.545709    27.972546     0.850936     0.020000
    57.305834    27.904081     0.854247     0.020000
    57.056951    27.832792     0.857559     0.020000
    56.798542    27.758499     0.860870     0.020000
    56.530049    27.681010     0.864181     0.020000
    56.250872    27.600113     0.867492     0.020000
    55.960358    27.515578     0.870803     0.020000
    55.657804    27.427155     0.874114     0.020000
    55.342444    27.334568     0.877425     0.020000
    55.013449    27.237517     0.880736     0.020000
    54.669914    27.135670     0.884047     0.020000
    54.310854    27.028664     0.887358     0.020000
    53.935192    26.916096     0.890669     0.020000
    53.541749    26.797520     0.893980     0.020000
    53.129233    26.672443     0.897291     0.020000
    52.696221    26.540315     0.900602     0.020000
    52.241148    26.400523     0.903913     0.020000
    51.762284    26.252379     0.907224     0.020000
    51.257712    26.095112     0.910535     0.020000
    50.725305    25.927853     0.913846     0.020000
    50.162695    25.749617     0.917157     0.020000
    49.567237    25.559289     0.920468     0.020000
    48.935967    25.355594     0.923779     0.020000
    48.265555    25.137072     0.927090     0.020000
    47.552243    24.902044     0.930401     0.020000
    46.791778    24.648566     0.933712     0.020000
    45.979325    24.374377     0.937023     0.020000
    45.109362    24.076831     0.940334     0.020000
    44.175561    23.752809     0.943645     0.020000
    43.170627    23.398613     0.946957     0.020000
    42.086110    23.009824     0.950268     0.020000
    40.912167    22.581113     0.953579     0.020000
    39.637260    22.105998     0.956890     0.020000
    38.247782    21.576514     0.960201     0.020000
    36.727560    20.982762     0.963512     0.020000
    35.057230    20.312284     0.966823     0.020000
    33.213404    19.549183     0.970134     0.020000
    31.167570    18.672839     0.973445     0.020000
    28.884607    17.656026     0.976756     0.020000
    26.320751    16.462027     0.980067     0.020000
    23.420762    15.040108     0.983378     0.020000
    20.113900    13.318120     0.986689     0.020000
    16.308077    11.189872     0.990000     0.020000
    63.079650    29.087214     0.000000     0.050000
    63.063356    29.083042     0.003311     0.050000
    63.046962    29.078843     0.006622     0.050000
    63.030467    29.074617     0.009933     0.050000
    63.013870    29.070365     0.013244     0.050000
    62.997171    29.066085     0.016555     0.050000
    62.980367    29.061777     0.019866     0.050000
    62.963458    29.057441     0.023177     0.050000
    62.946444    29.053077     0.026488     0.050000
    62.929323    29.048685     0.029799     0.050000
    62.912094    29.044264     0.033110     0.050000
    62.894756    29.039814     0.036421     0.050000
    62.877308    29.035335     0.039732     0.050000
    62.859749    29.030826     0.043043     0.050000
    62.842078    29.026287     0.046355     0.050000
    62.824295    29.021718     0.049666     0.050000
    62.806397    29.017118     0.052977     0.050000
    62.788383    29.012488     0.056288     0.050000
    62.770254    29.007826     0.059599     0.050000
    62.752006    29.003134     0.062910     0.050000
    62.733641    28.998409     0.066221     0.050000
    62.715155    28.993652     0.069532     0.050000
    62.696548    28.988863     0.072843     0.050000
    62.677819    28.984041     0.076154     0.050000
    62.658967    28.979186     0.079465     0.050000
    62.639990    28.974298     0.082776     0.050000
    62.620888    28.969376     0.086087     0.050000
    62.601658    28.964420     0.089398     0.050000
    62.582299    28.959429     0.092709     0.050000
    62.562811    28.954404     0.096020     0.050000
    62.543192    28.949343     0.099331     0.050000
    62.523441    28.944247     0.102642     0.050000
    62.503556    28.939115     0.105953     0.050000
    62.483536    28.933947     0.109264     0.050000
    62.463380    28.928741     0.112575     0.050000
    62.443086    28.923499     0.115886     0.050000
    62.422653    28.918220     0.119197     0.050000
    62.402078    28.912902     0.122508     0.050000
    62.381362    28.907546     0.125819     0.050000
    62.360503    28.902151     0.129130     0.050000
    62.339498    28.896718     0.132441     0.050000
    62.318346    28.891244     0.135753     0.050000
    62.297047    28.885731     0.139064     0.050000
    62.275598    28.880177     0.142375     0.050000
    62.253997    28.874583     0.145686     0.050000
    62.232243    28.868947     0.148997     0.050000
    62.210335    28.863269     0.152308     0.050000
    62.188271    28.857549     0.155619     0.050000
    62.166049    28.851786     0.158930     0.050000
    62.143668    28.845980     0.162241     0.050000
    62.121125    28.840130     0.165552     0.050000
    62.098419    28.834236     0.168863     0.050000
    62.075548    28.828298     0.172174     0.050000
    62.052511    28.822314     0.175485     0.050000
    62.029305    28.816284     0.178796     0.050000
    62.005929    28.810208     0.182107     0.050000
    61.982381    28.804086     0.185418     0.050000
    61.958658    28.797916     0.188729     0.050000
    61.934760    28.791698     0.192040     0.050000
    61.910684    28.785431     0.195351     0.050000
    61.886427    28.779116     0.198662     0.050000
    61.861989    28.772751     0.201973     0.050000
    61.837367    28.766336     0.205284     0.050000
    61.812558    28.759870     0.208595     0.050000
    61.787561    28.753352     0.211906     0.050000
    61.762374    28.746783     0.215217     0.050000
    61.736994    28.740161     0.218528     0.050000
    61.711420    28.733486     0.221839     0.050000
    61.685648    28.726757     0.225151     0.050000
    61.659677    28.719973     0.228462     0.050000
    61.633504    28.713134     0.231773     0.050000
    61.607127    28.706239     0.235084     0.050000
    61.580544    28.699288     0.238395     0.050000
    61.553752    28.692279     0.241706     0.050000
    61.526749    28.685212     0.245017     0.050000
    61.499531    28.678087     0.248328     0.050000
    61.472098    28.670902     0.251639     0.050000
    61.444445    28.663657     0.254950     0.050000
    61.416571    28.656351     0.258261     0.050000
    61.388472    28.648983     0.261572     0.050000
    61.360146    28.641552     0.264883     0.050000
    61.331591    28.634059     0.268194     0.050000
    61.302803    28.626501     0.271505     0.050000
    61.273779    28.618878     0.274816     0.050000
    61.244518    28.611189     0.278127     0.050000
    61.215015    28.603434     0.281438     0.050000
    61.185267    28.595611     0.284749     0.050000
    61.155272    28.587720     0.288060     0.050000
    61.125027    28.579759     0.291371     0.050000
    61.094529    28.571729     0.294682     0.050000
    61.063773    28.563627     0.297993     0.050000
    61.032757    28.555452     0.301304     0.050000
    61.001479    28.547205     0.304615     0.050000
    60.969933    28.538884     0.307926     0.050000
    60.938117    28.530487     0.311237     0.050000
    60.906028    28.522015     0.314548     0.050000
    60.873661    28.513465     0.317860     0.050000
    60.841014    28.504837     0.321171     0.050000
    60.808082    28.496130     0.324482     0.050000
    60.774862    28.487343     0.327793     0.050000
    60.741350    28.478474     0.331104     0.050000
    60.707542    28.469522     0.334415     0.050000
    60.673434    28.460487     0.337726     0.050000
    60.639023    28.451366     0.341037     0.050000
    60.604304    28.442160     0.344348     0.050000
    60.569272    28.432866     0.347659     0.050000
    60.533925    28.423483     0.350970     0.050000
    60.498257    28.414010     0.354281     0.050000
    60.462264    28.404447     0.357592     0.050000
    60.425941    28.394790     0.360903     0.050000
    60.389285    28.385040     0.364214     0.050000
    60.352290    28.375194     0.367525     0.050000
    60.314952    28.365252     0.370836     0.050000
    60.277265    28.355212     0.374147     0.050000
    60.239226    28.345072     0.377458     0.050000
    60.200829    28.334831     0.380769     0.050000
    60.162069    28.324487     0.384080     0.050000
    60.122940    28.314039     0.387391     0.050000
    60.083438    28.303486     0.390702     0.050000
    60.043558    28.292825     0.394013     0.050000
    60.003293    28.282055     0.397324     0.050000
    59.962638    28.271175     0.400635     0.050000
    59.921587    28.260182     0.403946     0.050000
    59.880135    28.249075     0.407258     0.050000
    59.838276    28.237852     0.410569     0.050000
    59.796004    28.226512     0.413880     0.050000
    59.753312    28.215051     0.417191     0.050000
    59.710194    28.203470     0.420502     0.050000
    59.666644    28.191765     0.423813     0.050000
    59.622655    28.179934     0.427124     0.050000
    59.578221    28.167976     0.430435     0.050000
    59.533335    28.155889     0.433746     0.050000
    59.487990    28.143670     0.437057     0.050000
    59.442179    28.131317     0.440368     0.050000
    59.395894    28.118828     0.443679     0.050000
    59.349128    28.106201     0.446990     0.050000
    59.301874    28.093433     0.450301     0.050000
    59.254124    28.080522     0.453612     0.050000
    59.205871    28.067466     0.456923     0.050000
    59.157105    28.054263     0.460234     0.050000
    59.107820    28.040909     0.463545     0.050000
    59.058006    28.027401     0.466856     0.050000
    59.007655    28.013739     0.470167     0.050000
    58.956758    27.999918     0.473478     0.050000
    58.905307    27.985936     0.476789     0.050000
    58.853292    27.971790     0.480100     0.050000
    58.800704    27.957478     0.483411     0.050000
    58.747533    27.942996     0.486722     0.050000
    58.693770    27.928341     0.490033     0.050000
    58.639405    27.913510     0.493344     0.050000
    58.584428    27.898500     0.496656     0.050000
    58.528828    27.883307     0.499967     0.050000
    58.472594    27.867929     0.503278     0.050000
    58.415716    27.852362     0.506589     0.050000
    58.358182    27.836603     0.509900     0.050000
    58.299982    27.820647     0.513211     0.050000
    58.241103    27.804491     0.516522     0.050000
    58.181533    27.788132     0.519833     0.050000
    58.121261    27.771565     0.523144     0.050000
    58.060273    27.754787     0.526455     0.050000
    57.998558    27.737793     0.529766     0.050000
    57.936101    27.720579     0.533077     0.050000
    57.872890    27.703141     0.536388     0.050000
    57.808911    27.685475     0.539699     0.050000
    57.744149    27.667576     0.543010     0.050000
    57.678590    27.649439     0.546321     0.050000
    57.612219    27.631060     0.549632     0.050000
    57.545022    27.612434     0.552943     0.050000
    57.476983    27.593555     0.556254     0.050000
    57.408085    27.574419     0.559565     0.050000
    57.338312    27.555020     0.562876     0.050000
    57.267648    27.535352     0.566187     0.050000
    57.196076    27.515411     0.569498     0.050000
    57.123577    27.495191     0.572809     0.050000
    57.050134    27.474685     0.576120     0.050000
    56.975727    27.453887     0.579431     0.050000
    56.900339    27.432792     0.582742     0.050000
    56.823950    27.411392     0.586054     0.050000
    56.746538    27.389681     0.589365     0.050000
    56.668085    27.367653     0.592676     0.050000
    56.588568    27.345300     0.595987     0.050000
    56.507966    27.322614     0.599298     0.050000
    56.426256    27.299590     0.602609     0.050000
    56.343416    27.276218     0.605920     0.050000
    56.259421    27.252491     0.609231     0.050000
    56.174248    27.228401     0.612542     0.050000
    56.087871    27.203940     0.615853     0.050000
    56.000265    27.179098     0.619164     0.050000
    55.911404    27.153867     0.622475     0.050000
    55.821260    27.128237     0.625786     0.050000
    55.729805    27.102200     0.629097     0.050000
    55.637010    27.075745     0.632408     0.050000
    55.542846    27.048861     0.635719     0.050000
    55.447283    27.021540     0.639030     0.050000
    55.350288    26.993769     0.642341     0.050000
    55.251830    26.965539     0.645652     0.050000
    55.151874    26.936836     0.648963     0.050000
    55.050388    26.907649     0.652274     0.050000
    54.947334    26.877967     0.655585     0.050000
    54.842677    26.847775     0.658896     0.050000
    54.736379    26.817061     0.662207     0.050000
    54.628401    26.785812     0.665518     0.050000
    54.518703    26.754013     0.668829     0.050000
    54.407243    26.721649     0.672140     0.050000
    54.293979    26.688705     0.675452     0.050000
    54.178866    26.655166     0.678763     0.050000
    54.061859    26.621016     0.682074     0.050000
    53.942911    26.586236     0.685385     0.050000
    53.821973    26.550811     0.688696     0.050000
    53.698994    26.514721     0.692007     0.050000
    53.573923    26.477948     0.695318     0.050000
    53.446705    26.440473     0.698629     0.050000
    53.317286    26.402274     0.701940     0.050000
    53.185606    26.363331     0.705251     0.050000
    53.051608    26.323622     0.708562     0.050000
    52.915228    26.283124     0.711873     0.050000
    52.776402    26.241813     0.715184     0.050000
    52.635065    26.199665     0.718495     0.050000
    52.491148    26.156653     0.721806     0.050000
    52.344578    26.112752     0.725117     0.050000
    52.195283    26.067933     0.728428     0.050000
    52.043185    26.022166     0.731739     0.050000
    51.888206    25.975423     0.735050     0.050000
    51.730261    25.927670     0.738361     0.050000
    51.569265    25.878875     0.741672     0.050000
    51.405130    25.829004     0.744983     0.050000
    51.237762    25.778021     0.748294     0.050000
    51.067064    25.725887     0.751605     0.050000
    50.892937    25.672563     0.754916     0.050000
    50.715275    25.618009     0.758227     0.050000
    50.533971    25.562182     0.761538     0.050000
    50.348912    25.505035     0.764849     0.050000
    50.159978    25.446522     0.768161     0.050000
    49.967047    25.386593     0.771472     0.050000
    49.769992    25.325197     0.774783     0.050000
    49.568678    25.262278     0.778094     0.050000
    49.362966    25.197779     0.781405     0.050000
    49.152710    25.131640     0.784716     0.050000
    48.937757    25.063798     0.788027     0.050000
    48.717950    24.994186     0.791338     0.050000
    48.493120    24.922734     0.794649     0.050000
    48.263095    24.849367     0.797960     0.050000
    48.027692    24.774008     0.801271     0.050000
    47.786720    24.696575     0.804582     0.050000
    47.539980    24.616981     0.807893     0.050000
    47.287261    24.535133     0.811204     0.050000
    47.028343    24.450936     0.814515     0.050000
    46.762996    24.364286     0.817826     0.050000
    46.490978    24.275074     0.821137     0.050000
    46.212033    24.183186     0.824448     0.050000
    45.925893    24.088498     0.827759     0.050000
    45.632277    23.990882     0.831070     0.050000
    45.330888    23.890198     0.834381     0.050000
    45.021412    23.786301     0.837692     0.050000
    44.703520    23.679034     0.841003     0.050000
    44.376864    23.568229     0.844314     0.050000
    44.041076    23.453710     0.847625     0.050000
    43.695768    23.335286     0.850936     0.050000
    43.340530    23.212754     0.854247     0.050000
    42.974926    23.085897     0.857559     0.050000
    42.598497    22.954481     0.860870     0.050000
    42.210753    22.818256     0.864181     0.050000
    41.811178    22.676954     0.867492     0.050000
    41.399222    22.530284     0.870803     0.050000
    40.974299    22.377936     0.874114     0.050000
    40.535789    22.219573     0.877425     0.050000
    40.083027    22.054831     0.880736     0.050000
    39.615310    21.883318     0.884047     0.050000
    39.131882    21.704607     0.887358     0.050000
    38.631939    21.518235     0.890669     0.050000
    38.114620    21.323699     0.893980     0.050000
    37.579003    21.120450     0.897291     0.050000
    37.024099    20.907890     0.900602     0.050000
    36.448848    20.685364     0.903913     0.050000
    35.852110    20.452154     0.907224     0.050000
    35.232658    20.207471     0.910535     0.050000
    34.589170    19.950448     0.913846     0.050000
    33.920219    19.680127     0.917157     0.050000
    33.224264    19.395449     0.920468     0.050000
    32.499635    19.095239     0.923779     0.050000
    31.744523    18.778189     0.927090     0.050000
    30.956964    18.442843     0.930401     0.050000
    30.134820    18.087568     0.933712     0.050000
    29.275762    17.710535     0.937023     0.050000
    28.377246    17.309682     0.940334     0.050000
    27.436490    16.882677     0.943645     0.050000
    26.450444    16.426875     0.946957     0.050000
    25.415757    15.939261     0.950268     0.050000
    24.328739    15.416384     0.953579     0.050000
    23.185315    14.854276     0.956890     0.050000
    21.980980    14.248349     0.960201     0.050000
    20.710732    13.593272     0.963512     0.050000
    19.369009    12.882812     0.966823     0.050000
    17.949603    12.109634     0.970134     0.050000
    16.445566    11.265052     0.973445     0.050000
    14.849096    10.338693     0.976756     0.050000
    13.151403     9.318078     0.980067     0.050000
    11.342545     8.188048     0.983378     0.050000
     9.411233     6.930012     0.986689     0.050000
